Date, Close/Last, Volume, Open, High, Low
06/19/2020, $36.84, 101013900, $39.94, $40.26, $35.7626
06/18/2020, $39.34, 64927110, $37.65, $40.2, $37.5
06/17/2020, $39.25, 60125890, $39.09, $39.77, $38.22
06/16/2020, $40.21, 71155210, $42.51, $42.75, $39.52
06/15/2020, $39, 102434800, $36.04, $39.87, $35.51
06/12/2020, $39.66, 98882650, $37.51, $39.68, $36.15
06/11/2020, $33.32, 104768800, $33.255, $36.38, $32.22
06/10/2020, $39.72, 105254900, $42.04, $42.6, $38.3
06/09/2020, $44.64, 79612840, $45, $46.1, $41.5
06/08/2020, $48.69, 89957310, $45.86, $48.85, $44.57
06/05/2020, $42.405, 135585100, $48.95, $48.95, $41.26
06/04/2020, $39.1, 142812800, $35.77, $39.85, $34.14
06/03/2020, $33.65, 85543750, $30.75, $33.9, $30.39
06/02/2020, $29.91, 47473420, $30.12, $30.92, $29.31
06/01/2020, $29.46, 57585070, $28.19, $30.29, $27.9534
05/29/2020, $28.04, 64483620, $27.11, $28.88, $26.65
05/28/2020, $28.89, 57401180, $30, $30, $28.53
05/27/2020, $30.69, 89323150, $32.25, $32.75, $28.535
05/26/2020, $29.54, 88220680, $27.48, $29.88, $27.45
05/22/2020, $25.4, 45062050, $26.38, $26.58, $24.67
05/21/2020, $25.84, 53737290, $25.09, $26.58, $25
05/20/2020, $24.91, 56271960, $24.38, $25.39, $24.3
05/19/2020, $23.68, 81387950, $25.62, $25.67, $23.33
05/18/2020, $24.13, 72914840, $21.79, $24.26, $21.46
05/15/2020, $19.92, 39807950, $19.67, $20.9599, $19.28
05/14/2020, $20.3, 74107760, $19.72, $20.43, $18.18
05/13/2020, $20.71, 59007860, $22.51, $22.64, $20.33
05/12/2020, $22.76, 40420910, $23.95, $24.4627, $22.74
05/11/2020, $23.97, 47485790, $24.5, $24.64, $23.46
05/08/2020, $25.42, 55613250, $23.58, $25.44, $23.32
05/07/2020, $22.75, 44179280, $22.96, $24.45, $22.4498
05/06/2020, $22.91, 43355300, $23.96, $24.35, $22.385
05/05/2020, $24.12, 35651670, $26.04, $26.35, $23.98
05/04/2020, $25.26, 63152400, $23.91, $25.56, $22.76
05/01/2020, $26.62, 47710310, $28.1, $29.25, $26.13
04/30/2020, $29.58, 44896850, $29.66, $31.07, $28.32
04/29/2020, $31.21, 52643460, $29.58, $31.84, $29.49
04/28/2020, $27.84, 59812100, $25.86, $28.43, $25.5
04/27/2020, $25, 35980030, $25.985, $26.34, $24.87
04/24/2020, $25.56, 34850730, $25.92, $26.15, $24.67
04/23/2020, $25.72, 35812490, $26, $26.56, $25.66
04/22/2020, $25.88, 90730570, $27.3, $27.66, $25.01
04/21/2020, $27.88, 28293240, $27.01, $28.36, $26.76
04/20/2020, $27.79, 37041700, $27.927, $28.67, $26.69
04/17/2020, $29.08, 26829600, $29.9, $30.11, $28.86
04/16/2020, $28.21, 44795630, $30.348, $30.49, $27.92
04/15/2020, $31.86, 46775180, $31.97, $32.6, $29.88
04/14/2020, $30.9, 28650560, $30.52, $32.21, $30.38
04/13/2020, $28.91, 36493670, $32.63, $32.7, $27.59
04/09/2020, $31.5, 54118480, $29.92, $34.04, $29.57
04/08/2020, $27.51, 32657740, $25.65, $27.54, $24.51
04/07/2020, $24.48, 43809290, $28.2, $28.69, $23.7241
04/06/2020, $24.02, 32386710, $23.9, $24.8, $21.8
04/03/2020, $22.885, 28350250, $24.2165, $24.9395, $21.56
04/02/2020, $23.42, 25212820, $25.24, $26.09, $23
04/01/2020, $25.65, 27541550, $29.51, $29.69, $25.3601
03/31/2020, $31.55, 16568760, $31.31, $33.605, $30.5831
03/30/2020, $30.16, 18386440, $30.69, $31.8, $28
03/27/2020, $32.84, 18379570, $35.02, $35.2, $32.03
03/26/2020, $35.55, 29647800, $38.38, $39.78, $34.53
03/25/2020, $36.6, 32988800, $38, $39.47, $33.29
03/24/2020, $33, 31502490, $31.99, $34.15, $30.01
03/23/2020, $26.25, 25585770, $25.97, $26.6, $23.37
03/20/2020, $24.5, 37407970, $23.37, $30.74, $22.2
03/19/2020, $21.28, 31611170, $21.34, $23.99, $18.09
03/18/2020, $21.38, 35372670, $28.81, $28.97, $17.8
03/17/2020, $30.67, 21078870, $36.49, $38.14, $30.05
03/16/2020, $35.47, 28259540, $34.34, $39.37, $30.38
03/13/2020, $41.64, 24135260, $41.33, $42.49, $34
03/12/2020, $37.08, 19423640, $42.77, $44.31, $37.01
03/11/2020, $49.34, 10917060, $50.53, $51.23, $48.05
03/10/2020, $52.56, 15642910, $51, $54.33, $46.62
03/09/2020, $46.78, 12307560, $49.585, $50.99, $45.915
03/06/2020, $52.1, 16492240, $48.61, $56, $48.2601
03/05/2020, $51.59, 13974730, $57.11, $57.16, $50.93
03/04/2020, $59.47, 10671200, $59.51, $59.74, $56.315
03/03/2020, $58.29, 9208799, $63.14, $63.53, $57.96
03/02/2020, $61.26, 13015180, $61.13, $61.27, $57.0425
02/28/2020, $61.59, 9957999, $62.85, $64.8799, $60.825
02/27/2020, $64.94, 10257090, $62.9, $69.02, $61.2
02/26/2020, $66.53, 9372177, $71.75, $71.91, $65.89
02/25/2020, $70.57, 8076210, $75.76, $76.18, $70.32
02/24/2020, $75.47, 6332868, $75.08, $76.02, $73.65
02/21/2020, $78.01, 4545057, $79.4, $79.4, $77.32
02/20/2020, $79.91, 2893884, $79.3, $81.67, $79.3
02/19/2020, $79.42, 3350290, $80.94, $80.94, $79.19
02/18/2020, $80.24, 4183723, $79, $80.625, $78.65
02/14/2020, $79.55, 3119656, $81.02, $81.44, $79.4
02/13/2020, $80.99, 2998888, $81, $81.74, $80.37
02/12/2020, $82.2, 2907099, $81.08, $82.6, $81
02/11/2020, $80.53, 2763727, $80.02, $81.45, $79.945
02/10/2020, $79.47, 3492868, $78.95, $79.61, $77.78
02/07/2020, $79.48, 3129720, $80, $80.24, $78.65
02/06/2020, $80.5, 5218811, $82.4, $82.7211, $79.79
02/05/2020, $81.85, 6993789, $80.76, $82.36, $80.05
02/04/2020, $78.89, 6423869, $76.64, $79.53, $76.5
02/03/2020, $74.91, 3951366, $75.49, $77.1199, $74.88
01/31/2020, $74.8, 5196562, $77.17, $77.29, $74.52
01/30/2020, $77.75, 5900393, $74.66, $77.98, $74.44
01/29/2020, $75.21, 5512397, $77.4, $77.4899, $75.01
01/28/2020, $77.05, 7575578, $78.25, $78.475, $77
01/27/2020, $77.63, 8671260, $78, $78.46, $76.55
